subject,idna_subject,expiration_date,epoch,registrar
007freepics.com,007freepics.com,30-dec-2022,1672358400.0,"NameSilo, LLC"
01-photos-porno.info,01-photos-porno.info,28-nov-2022,1669593600.0,"NameSilo, LLC"
0pros.com,0pros.com,09-jan-2023,1673222400.0,West263 International Limited
100percentfedup.com,100percentfedup.com,29-sep-2022,1664409600.0,"GoDaddy.com, LLC"
100pornstars.com,100pornstars.com,01-dec-2022,1669852800.0,"NameCheap, Inc."
11pikachu.ru,11pikachu.ru,08-apr-2023,1680912000.0,RU-CENTER-RU
178evakuator178.ru,178evakuator178.ru,26-nov-2022,1669420800.0,NETHOUSE-RU
1egy.com,1egy.com,03-dec-2022,1670025600.0,"GoDaddy.com, LLC"
1kdailyprofit.biz,1kdailyprofit.biz,07-may-2022,1651881600.0,"NameSilo, LLC"
1phads.com,1phads.com,12-feb-2023,1676160000.0,"URL Solutions, Inc."
20minutenews.com,20minutenews.com,09-apr-2022,1649462400.0,"GoDaddy.com, LLC"
21stcenturywire.com,21stcenturywire.com,03-nov-2023,1698969600.0,"GoDaddy.com, LLC"
24counter.com,24counter.com,30-jun-2022,1656547200.0,"NameCheap, Inc."
2gaap.com,2gaap.com,18-mar-2023,1679097600.0,DropCatch.com 793 LLC
2pxg8bcf.top,2pxg8bcf.top,16-aug-2022,1660608000.0,Gname.com Pte. Ltd.
365usanews.com,365usanews.com,17-may-2022,1652745600.0,PDR Ltd. d/b/a PublicDomainRegistry.com
3dporn.biz,3dporn.biz,01-jul-2022,1656633600.0,"NameCheap, Inc."
45ansetplus.com,45ansetplus.com,05-jul-2022,1656979200.0,"Hongkong Domain Name Information Management Co., Limited"
4kplayer.pl,4kplayer.pl,21-dec-2022,1671580800.0,
4ksport.pl,4ksport.pl,23-may-2022,1653264000.0,
50h6v79p.top,50h6v79p.top,26-may-2022,1653523200.0,Dynadot LLC
5advertise.com,5advertise.com,13-feb-2023,1676246400.0,"NameSilo, LLC"
5dimessports.com,5dimessports.com,06-nov-2022,1667692800.0,"SNAPNAMES 84, LLC"
5rocks.io,5rocks.io,27-feb-2023,1677456000.0,Gandi SAS
666s.info,666s.info,23-feb-2023,1677110400.0,"GoDaddy.com, LLC"
69freepornlinks.com,69freepornlinks.com,10-dec-2022,1670630400.0,PDR Ltd. d/b/a PublicDomainRegistry.com
69lingerie.com,69lingerie.com,09-dec-2022,1670544000.0,"GoDaddy.com, LLC"
69proof.com,69proof.com,19-sep-2022,1663545600.0,"GoDaddy.com, LLC"
69sex.com.br,69sex.com.br,26-mar-2023,1679788800.0,
6e2f1d2ae033.com,6e2f1d2ae033.com,20-dec-2022,1671494400.0,DropCatch.com 550 LLC
7156.info,7156.info,15-sep-2022,1663200000.0,"NameCheap, Inc."
7cfmnf.top,7cfmnf.top,26-may-2022,1653523200.0,Dynadot LLC
8090cpa.com,8090cpa.com,11-aug-2022,1660176000.0,ALIBABA.COM SINGAPORE E-COMMERCE PRIVATE LIMITED
86d6.com,86d6.com,23-dec-2022,1671753600.0,"GoDaddy.com, LLC"
98oi.ru,98oi.ru,29-mar-2023,1680048000.0,BEGET-RU
9xa.pl,9xa.pl,01-may-2022,1651363200.0,
a2pub.com,a2pub.com,30-nov-2022,1669766400.0,Moniker Online Services LLC
a48.info,a48.info,24-sep-2022,1663977600.0,"GMO Internet, Inc. d/b/a Onamae.com"
a71.info,a71.info,20-feb-2023,1676851200.0,"NameCheap, Inc."
ab4hr.com,ab4hr.com,03-apr-2023,1680480000.0,"GoDaddy.com, LLC"
abcnews.com.co,abcnews.com.co,08-jan-2024,1704672000.0,BigRock Solutions Ltd.
abercrombieport.com,abercrombieport.com,11-may-2022,1652227200.0,Web Commerce Communications Limited dba WebNic.cc
aboutwebservices.com,aboutwebservices.com,25-jul-2022,1658707200.0,"CSC Corporate Domains, Inc."
absum.ru,absum.ru,19-jul-2022,1658188800.0,R01-RU
ac-feedback.com,ac-feedback.com,01-nov-2022,1667260800.0,Danesco Trading Ltd.
acaiberryextreme.pl,acaiberryextreme.pl,25-aug-2022,1661385600.0,
accessiblemetrics.com,accessiblemetrics.com,23-jan-2023,1674432000.0,Tucows Domains Inc.
accessvb.com,accessvb.com,24-apr-2023,1682294400.0,MarkMonitor Inc.
